Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Chicago Bulls,50-16,26-7,24-9,38-10,12-6,13-4,13-1,12-5,2-3,5-1,5-2,27-8,2012
2,San Antonio Spurs,50-16,28-5,22-11,15-3,35-13,6-0,4-2,5-1,10-6,13-3,12-4,24-10,2012
3,Oklahoma City Thunder,47-19,26-7,21-12,13-5,34-14,6-0,3-2,4-3,10-3,12-5,12-6,27-7,2012
4,Miami Heat,46-20,28-5,18-15,35-13,11-7,14-3,12-5,9-5,3-3,3-3,5-1,27-7,2012
5,Indiana Pacers,42-24,23-10,19-14,29-19,13-5,11-7,9-4,9-8,5-1,4-2,4-2,21-12,2012
6,Los Angeles Lakers,41-25,26-7,15-18,9-9,32-16,5-2,1-4,3-3,12-6,9-5,11-5,20-14,2012
7,Memphis Grizzlies,41-25,26-7,15-18,15-3,26-22,4-2,6-1,5-0,10-7,9-7,7-8,19-15,2012
8,Atlanta Hawks,40-26,23-10,17-16,31-17,9-9,9-8,11-6,11-3,4-2,3-4,2-3,20-14,2012
9,Los Angeles Clippers,40-26,24-9,16-17,11-7,29-19,3-3,2-3,6-1,12-7,7-7,10-5,20-11,2012
10,Boston Celtics,39-27,24-9,15-18,32-16,7-11,8-6,9-8,15-2,3-3,2-4,2-4,15-17,2012
11,Denver Nuggets,38-28,20-13,18-15,16-2,22-26,5-1,5-1,6-0,6-7,9-8,7-11,18-17,2012
12,Orlando Magic,37-29,21-12,16-17,30-18,7-11,10-6,12-5,8-7,2-5,4-1,1-5,22-13,2012
13,Dallas Mavericks,36-30,23-10,13-20,10-8,26-22,5-2,2-3,3-3,10-8,8-9,8-5,21-13,2012
14,New York Knicks,36-30,22-11,14-19,28-20,8-10,8-6,10-8,10-6,3-2,4-3,1-5,17-18,2012
15,Utah Jazz,36-30,25-8,11-22,11-7,25-23,3-4,4-2,4-1,9-4,9-9,7-10,15-17,2012
16,Philadelphia 76ers,35-31,19-14,16-17,28-20,7-11,7-6,11-6,10-8,1-5,5-1,1-5,20-14,2012
17,Houston Rockets,34-32,22-11,12-21,11-7,23-25,4-2,2-3,5-2,8-10,9-7,6-8,20-14,2012
18,Phoenix Suns,33-33,19-14,14-19,10-8,23-25,2-3,5-2,3-3,6-9,9-5,8-11,14-20,2012
19,Milwaukee Bucks,31-35,17-16,14-19,24-24,7-11,9-7,7-8,8-9,3-4,2-4,2-3,13-20,2012
20,Portland Trail Blazers,28-38,20-13,8-25,8-10,20-28,3-2,2-4,3-4,4-10,8-10,8-8,18-16,2012
21,Minnesota Timberwolves,26-40,13-20,13-20,7-11,19-29,2-3,2-5,3-3,4-9,7-11,8-9,17-17,2012
22,Detroit Pistons,25-41,18-15,7-26,20-28,5-13,7-9,4-11,9-8,1-5,3-3,1-5,11-24,2012
23,Golden State Warriors,23-43,12-21,11-22,7-11,16-32,1-6,3-3,3-2,6-11,7-8,3-13,13-17,2012
24,Toronto Raptors,23-43,13-20,10-23,15-33,8-10,7-8,4-12,4-13,3-3,2-3,3-4,10-23,2012
25,New Jersey Nets,22-44,9-24,13-20,16-32,6-12,5-9,5-12,6-11,0-6,5-2,1-4,10-25,2012
26,Sacramento Kings,22-44,16-17,6-27,6-12,16-32,2-4,2-5,2-3,7-12,3-10,6-10,11-22,2012
27,Cleveland Cavaliers,21-45,11-22,10-23,13-35,8-10,6-12,3-12,4-11,3-3,3-3,2-4,13-18,2012
28,New Orleans Hornets,21-45,11-22,10-23,7-11,14-34,3-2,2-5,2-4,6-11,5-12,3-11,8-25,2012
29,Washington Wizards,20-46,11-22,9-24,16-32,4-14,4-14,5-11,7-7,2-4,1-5,1-5,7-26,2012
30,Charlotte Bobcats,7-59,4-29,3-30,5-43,2-16,3-14,1-15,1-14,0-6,1-4,1-6,4-28,2012
