Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Budenholzer,ATL,2,2,82,60,22,164,98,66,164,98,66,0.598,16.0,8.0,8.0,23.0,11.0,12.0,23.0,11.0,12.0,2015
Brad Stevens,BOS,2,2,82,40,42,164,65,99,164,65,99,0.396,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,2015
Lionel Hollins,BRK,1,8,82,38,44,82,38,44,497,252,245,0.507,6.0,2.0,4.0,6.0,2.0,4.0,41.0,20.0,21.0,2015
Tom Thibodeau,CHI,5,5,82,50,32,394,255,139,394,255,139,0.647,12.0,6.0,6.0,51.0,23.0,28.0,51.0,23.0,28.0,2015
Steve Clifford,CHO,2,2,82,33,49,164,76,88,164,76,88,0.463,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,2015
David Blatt,CLE,1,1,82,53,29,82,53,29,82,53,29,0.646,20.0,14.0,6.0,20.0,14.0,6.0,20.0,14.0,6.0,2015
Rick Carlisle,DAL,7,13,82,50,32,558,338,220,1050,619,431,0.59,5.0,1.0,4.0,53.0,27.0,26.0,115.0,57.0,58.0,2015
Brian Shaw,DEN,2,2,59,20,39,141,56,85,141,56,85,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Melvin Hunt,DEN,1,1,23,10,13,23,10,13,23,10,13,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,403,258,0.61,0.0,0.0,0.0,0.0,0.0,0.0,87.0,48.0,39.0,2015
Steve Kerr,GSW,1,1,82,67,15,82,67,15,82,67,15,0.817,21.0,16.0,5.0,21.0,16.0,5.0,21.0,16.0,5.0,2015
Kevin McHale,HOU,4,6,82,56,26,312,189,123,406,228,178,0.562,17.0,9.0,8.0,29.0,13.0,16.0,29.0,13.0,16.0,2015
Frank Vogel,IND,5,5,82,38,44,349,205,144,349,205,144,0.587,0.0,0.0,0.0,54.0,28.0,26.0,54.0,28.0,26.0,2015
Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,700,524,0.572,14.0,7.0,7.0,27.0,13.0,14.0,148.0,77.0,71.0,2015
Byron Scott,LAL,1,14,82,21,61,82,21,61,1019,437,582,0.429,0.0,0.0,0.0,0.0,0.0,0.0,57.0,33.0,24.0,2015
Dave Joerger,MEM,2,2,82,55,27,164,105,59,164,105,59,0.64,11.0,6.0,5.0,18.0,9.0,9.0,18.0,9.0,9.0,2015
Erik Spoelstra,MIA,7,7,82,37,45,558,351,207,558,351,207,0.629,0.0,0.0,0.0,99.0,63.0,36.0,99.0,63.0,36.0,2015
Jason Kidd,MIL,1,2,82,41,41,82,41,41,164,85,79,0.518,6.0,2.0,4.0,6.0,2.0,4.0,18.0,7.0,11.0,2015
Flip Saunders,MIN,11,17,82,16,66,819,427,392,1246,654,592,0.525,0.0,0.0,0.0,47.0,17.0,30.0,98.0,47.0,51.0,2015
Monty Williams,NOP,5,5,82,45,37,394,173,221,394,173,221,0.439,4.0,0.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,2015
Derek Fisher,NYK,1,1,82,17,65,82,17,65,82,17,65,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Scott Brooks,OKC,7,7,82,45,37,545,338,207,545,338,207,0.62,0.0,0.0,0.0,73.0,39.0,34.0,73.0,39.0,34.0,2015
Jacque Vaughn,ORL,3,3,52,15,37,216,58,158,216,58,158,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
James Borrego,ORL,1,1,30,10,20,30,10,20,30,10,20,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Brett Brown,PHI,2,2,82,18,64,164,37,127,164,37,127,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Jeff Hornacek,PHO,2,2,82,39,43,164,87,77,164,87,77,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Terry Stotts,POR,3,7,82,51,31,246,138,108,529,253,276,0.478,5.0,1.0,4.0,16.0,6.0,10.0,21.0,7.0,14.0,2015
Michael Malone,SAC,2,2,24,11,13,106,39,67,106,39,67,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Tyrone Corbin,SAC,1,5,28,7,21,28,7,21,286,119,167,0.416,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2015
George Karl,SAC,1,26,30,11,19,30,11,19,1917,1142,775,0.596,0.0,0.0,0.0,0.0,0.0,0.0,185.0,80.0,105.0,2015
Gregg Popovich,SAS,19,19,82,55,27,1492,1022,470,1492,1022,470,0.685,7.0,3.0,4.0,246.0,152.0,94.0,246.0,152.0,94.0,2015
Dwane Casey,TOR,4,6,82,49,33,312,154,158,434,207,227,0.477,4.0,0.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2015
Quin Snyder,UTA,1,1,82,38,44,82,38,44,82,38,44,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Randy Wittman,WAS,4,9,82,46,36,295,137,158,602,237,365,0.394,10.0,6.0,4.0,21.0,12.0,9.0,21.0,12.0,9.0,2015
